,,,,,,,,,,,
,No,,,Requirement,Rubric Description,Instructions,,Rubrics are evaluated based on quality or % of completion.,,,
,6102,TEAM,Submission,Required,"No rubrics are left in ""Untested"" status.

If your team has no BFA, please waive Art-BFA.
If your team has BFA, please waive Art.
If your team has UXGD, please waive Design.
If your team has no UXGD, please waive Design-UXGD.","Please check through all the rubrics.
Above Average: < 4 untested rubrics
Average: < 8 untested rubrics
Minimal: < 12 untested rubrics
Missing:  > 12 untested rubrics",,Waived,Untested,,
,6103,TEAM,Submission,Required,The team did not open or save the rubric document in Google Sheets.,Please upload the file to OneDrive and open it using Microsoft 365 Excel online or Excel Desktop App so that all the team members can edit the Excel file at the same time. ,,Waived,Untested,,
,6104,TEAM,Submission,Required,"All the required items for Production have been submitted correctly, as instructed by the Production Instructor.","This includes filling up this document correctly, submitting all the files in the required naming convention and format, updating your Notion timely, etc. Please make sure to watch the Production lecture for the submission requirements.",,Waived,Untested,,
,6105,TECH,Submission,Critical,The team does not need to resubmit a new build of the Visual Studio project.,"This rubric will only be marked as ""Missing"" when any Instructor requires the Tech to resubmit their project!",,Waived,Untested,,
,6106,TECH,Submission,Required,"All the required items for Tech have been submitted correctly, as instructed by Tech Instructor. Please fill up the list of libraries used (at the bottom of the sheets).",Please make sure to watch the Production lecture for the submission requirements.,,Waived,Untested,,
,6107,"DESIGN-UXGD
DESIGN
ART",Submission,Required,"All the required items for DesignUXGD, Design and Art have been submitted correctly, as instructed by Design Instructor.",Please make sure to watch the Production lecture for the submission requirements.,,Waived,Untested,,
,6108,ART-BFA,Submission,Required,"All the required items for ArtBFA have been submitted correctly, as instructed by ArtBFA Instructor.",Please make sure to watch the Production lecture for the submission requirements.,,Waived,Untested,,
,,,,,,,,,,,
,PRESENTATION,,,,,COMPULSORY RUBRICS FOR EVERY TEAM,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,,Student Input,Teacher Input,Teacher Comments,
,6111,TEAM,Presentation,Required,"[Requirements] 
Presentation is kept within 8 minutes.","If the presentation went over 8 minutes, this rubric will be mark ""Missing"".",,Waived,Untested,,
,6112,TEAM,Presentation,Basic,"[Requirements] 
Every team member must participate in at least 2 out of 3 presentations (M1, M2, M3).",Please indicate on Student Sheet who is presenting in the current milestone. Any individual who didn't participate in 2 out of 3 presentations will get a 1-letter grade penalty in their final grade unless they have valid MC or excuses.,,Waived,Untested,,
,6113,TEAM,Presentation,Basic,"[Requirements] 
None of the presenters is using a script when presenting and every presenter makes an effort to give eye contact to the audience from time to time.","Please rehearse at the presentation venue and get used to the venue setup, microphone and computer volume.",,Waived,Untested,,
,6114,TEAM,Presentation,Basic,"[Requirements] 
Individuals playing the demo should not be presenting.","There should be one individual operating the slides/ demo (can be swopped), while the others present the slide/ demo. Playing the demo while presenting is not considered as you have presented. (Rubric 6111)",,Waived,Untested,,
,6115,TEAM,Presentation,Basic,"[Presentation]
Clear introduction and overview of the project with a working Demo without major hiccups.","Teams with UXGD must showcase a working demo of the game concept using Unity. Teams can also showcase their current Custom Engine status.
Teams without UXGD must showcase a working demo using the Custom Engine.",,Waived,Untested,,
,6116,TEAM,Presentation,Advanced,"[Presentation]
Well-prepared presentation, smooth transitions between sections of the presentation and presenters, along with well coordination presenter and slide coordinator.",Rubrics 6115 must be completed.,,Waived,Untested,,
,6117,TEAM,Presentation,Advanced,"[Presentation]
The presentation was engaging and outstanding, loud and clear, leaving a good impression.",,,Waived,Untested,,
,6118,TEAM,Presentation,Exceptional,"[Presentation]
Most of the presenters showed confidence during the presentation delivery, which was well executed, showing great enthusiasm and high-level energy.",Rubrics 6115 and 6116 needs to be at least Above Average.,,Waived,Untested,,
,6119,TEAM,Presentation,Advanced,"[Visual Design]
Consistent and visually appealing presentation slide design that suits the project's theme.",,,Waived,Untested,,
,6120,TEAM,Presentation,Advanced,"[Visual Design]
Effective use of colours, fonts, tables, diagrams, images/ gifs, screenshots, animation, transitions or backgrounds enhances readability and presentation. ",The slides' content is not too cluttered and easy to read/ understand.,,Waived,Untested,,
,6121,TEAM,Presentation,Basic,"[Risk and Mitigations]
Identify potential risks and mitigations faced by the Tech, Design and Art Team.
Definition: Risk mitigation is the process the team undertakes to reduce its exposure to the various risks it might face moving forward. ","The team should present risks and mitigations specific to your team rather than general risks like heavy school workload and bad time management. This rubric will be marked as ""Missing"" if the team does not present this during the presentation.",,Waived,Untested,,
,6122,TEAM,Presentation,Extra,"[Risk and Mitigations]
Identified unique risks related to the team and showed the effectiveness of proposed mitigation strategies and the feasibility and practicality of the mitigation plans. [Pre-req: 6120]","Rubrics 6120 must be marked as ""Completed"", else this rubric will be marked as ""Missing"".",,Waived,Untested,,
,6123,TEAM,Presentation,Basic,"[Milestone Plan]
Shows clarity and coherence of the upcoming milestone plan for the Tech, Design and Art Team.","This rubric will be marked as ""Missing"" if the team does not present this during the presentation.",,Waived,Untested,,
,6124,TEAM,Presentation,Extra,"[Milestone Plan]
Realistic objectives and tasks for the upcoming milestone with consideration of dependencies and potential challenges. [Pre-req: 6122]","Rubrics 6122 must be marked as ""Completed"", else this rubric will be marked as ""Missing"".",,Waived,Untested,,
,,,,,,,,,,,
,List of libraries used - To be filled by the Tech team,,,,,,,,,BACK TO TOP,
,No, ,,Library name,Library usage description,Library files and code file name(s), , , ,,
,7001,Example,LIBRARY,example (GLFW),"example (We are using GLFW for a faster application startup, Keyboard/Mouse input, and OpenGL setup)","example (glfw.lib, glfw.h)", , , ,,
,7002,Lib 01,LIBRARY, , , , , , ,,
,7003,Lib 02,LIBRARY, , , , , , ,,
,7004,Lib 03,LIBRARY, , , , , , ,,
,7005,Lib 04,LIBRARY, , , , , , ,,
,7006,Lib 05,LIBRARY, , , , , , ,,
,7007,Lib 06,LIBRARY, , , , , , ,,
,7008,Lib 07,LIBRARY, , , , , , ,,
,7009,Lib 08,LIBRARY, , , , , , ,,
,7010,Lib 09,LIBRARY, , , , , , ,,
,7011,Lib 10,LIBRARY, , , , , , ,,
,7012,Lib 11,LIBRARY, , , , , , ,,
,7013,Lib 12,LIBRARY, , , , , , ,,
,7014,Lib 13,LIBRARY, , , , , , ,,
,7015,Lib 14,LIBRARY, , , , , , ,,
,7016,Lib 15,LIBRARY, , , , , , ,,
,7017,Lib 16,LIBRARY, , , , , , ,,
,7018,Lib 17,LIBRARY, , , , , , ,,
,7019,Lib 18,LIBRARY, , , , , , ,,
,7020,Lib 19,LIBRARY, , , , , , ,,
,7021,Lib 20,LIBRARY, , , , , , ,,
,,,,,,,,,,,
